114年01月 3231 緯創             各日成交資訊,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/01/02,"24,027,863","2,508,036,464",103.50,106.50,103.00,103.00,-1.00,"12,058",
114/01/03,"27,960,825","2,925,081,644",103.00,107.00,102.50,105.50,+2.50,"14,834",
114/01/06,"22,568,497","2,417,425,789",107.00,108.00,106.00,106.50,+1.00,"10,845",
114/01/07,"18,570,491","1,996,454,703",107.50,108.00,106.50,107.50,+1.00,"10,077",
114/01/08,"13,271,766","1,427,855,768",106.50,108.50,106.00,107.50, 0.00,"7,545",
114/01/09,"26,161,982","2,792,724,376",109.00,109.50,104.50,104.50,-3.00,"16,301",
114/01/10,"17,765,054","1,843,855,064",105.00,106.00,103.00,103.00,-1.50,"12,439",
114/01/13,"32,066,220","3,287,617,062",102.50,104.00,100.00,103.00, 0.00,"18,738",
114/01/14,"19,241,521","1,995,477,885",102.50,105.50,102.00,104.50,+1.50,"10,009",
114/01/15,"17,774,514","1,828,552,926",104.00,105.00,101.50,101.50,-3.00,"12,069",
114/01/16,"19,302,451","2,023,801,739",104.50,106.00,104.00,104.50,+3.00,"10,769",
114/01/17,"25,696,484","2,673,479,439",105.50,105.50,102.50,105.00,+0.50,"12,782",
114/01/20,"90,927,807","10,109,103,086",110.00,114.50,108.50,112.50,+7.50,"55,893",
114/01/21,"42,402,247","4,696,337,225",111.50,112.00,109.00,111.50,-1.00,"30,701",
114/01/22,"41,247,530","4,560,478,587",112.00,112.50,109.50,110.00,-1.50,"25,875",
